id,name,category,stage,roles,traits,balance_scores,cuisines,cook_min,cook_max,salt_risk,pairs_with,avoid_with,notes
turkey_neck,Turkey neck,protein,pressure,protein; collagen; body,savory,"{""body"":4,""richness"":2,""umami"":3}",american; universal,45,60,low,roots; beans; pearl_barley,,Good-value broth meat; watch small bones.
pork_neck_bones,Pork neck bones,protein,pressure,protein; collagen; body,savory,"{""body"":4,""richness"":3,""umami"":3}",american; eastern_european; universal,45,60,low,beans; cabbage; pearl_barley,,Budget broth option; watch bone fragments.
smoked_sausage,Smoked sausage,protein,brown,protein; fat; seasoning,savory,"{""richness"":4,""umami"":4,""smoke"":5}",central_european; american,10,20,high,cabbage; beans; pearl_barley; smoked_paprika,ham_hock; bacon,A small amount can season the whole pot.
bacon,Bacon,fat,brown,fat; seasoning,savory,"{""richness"":4,""umami"":3,""smoke"":4,""texture"":2}",american; french; central_european,5,10,high,beans; cabbage; roots; lentils,ham_hock; smoked_sausage,Render first; reserve some for topping if desired.
onion,Onion,aromatics,aromatics,aromatic,pungent; savory,"{""sweetness"":2,""umami"":1,""aromatic_intensity"":3}",universal,5,10,low,,,Core aromatic.
red_onion,Red onion,aromatics,aromatics,aromatic,pungent,"{""sweetness"":2,""aromatic_intensity"":3}",mexican; mediterranean; universal,5,10,low,black_beans; canned_tomatoes; lime_juice,,Slightly sharper than yellow onion.
shallot,Shallot,aromatics,aromatics,aromatic,pungent,"{""sweetness"":2,""aromatic_intensity"":3}",french; southeast_asian,3,6,low,chicken_thighs; white_wine; herbs,,More delicate than onion.
garlic,Garlic,aromatics,aromatics,aromatic; seasoning,garlicky; pungent,"{""umami"":1,""aromatic_intensity"":4}",universal,1,3,low,,,Add after onion; do not scorch.
garlic_powder,Garlic powder,spice,pressure,seasoning,garlicky,"{""umami"":1,""aromatic_intensity"":2}",universal; american,,,low,beans; roots; meat,,Convenient but less fresh-tasting.
ginger,Ginger,aromatics,aromatics,aromatic; freshener,pungent; citrusy,"{""freshness"":2,""heat"":1,""aromatic_intensity"":4}",indian; east_asian; north_african,1,3,low,chicken_thighs; dried_chickpeas; miso; coconut_milk,parmesan,Bloom briefly.
leek,Leek,aromatics,aromatics,aromatic,savory,"{""sweetness"":2,""aromatic_intensity"":2}",french; british,5,10,low,chicken_thighs; celery_root; pearl_barley; thyme,,Wash thoroughly.
celery_stalk,Celery stalk,aromatics,aromatics,aromatic,herbaceous,"{""freshness"":1,""aromatic_intensity"":2}",french; american; italian,5,10,low,onion; carrot; chicken_thighs; beans,,Classic mirepoix component.
fennel_bulb,Fennel bulb,aromatics,aromatics,aromatic,anise; herbaceous,"{""sweetness"":2,""freshness"":1,""aromatic_intensity"":4}",italian; french,5,10,low,chicken_thighs; white_beans; canned_tomatoes,cumin,Distinct from fennel seed.
tomato_paste,Tomato paste,aromatics,aromatics,seasoning; thickener,savory,"{""body"":1,""richness"":1,""umami"":3,""sweetness"":1,""acidity"":1}",italian; french; universal,1,3,medium,beef_chuck; beans; wine; roots,,Brown briefly before liquid.
water,Water,liquid,deglaze,liquid,,{},universal,,,low,miso; dried_mushrooms; chicken_feet; parmesan_rind,,Neutral base; needs other flavor builders.
chicken_stock,Chicken stock,liquid,deglaze,liquid; seasoning,savory,"{""umami"":2,""richness"":1}",universal,,,medium,chicken_thighs; grains; roots; greens,ham_hock; smoked_sausage; miso,Prefer low-sodium.
beef_stock,Beef stock,liquid,deglaze,liquid; seasoning,savory,"{""body"":1,""richness"":3,""umami"":3}",french; american,,,medium,beef_chuck; beef_shank; pearl_barley; fresh_mushrooms,oxtail,Can make already-rich builds heavy.
bean_cooking_liquid,Bean cooking liquid,liquid,deglaze,liquid; body; thickener,savory,"{""body"":2,""umami"":1}",mexican; american; mediterranean,,,medium,beans; roots; greens,,Useful if not overly salty.
white_wine,White wine,liquid,deglaze,liquid; acid,fruity,"{""acidity"":2,""freshness"":1,""aromatic_intensity"":3}",french; italian,,,low,chicken_thighs; white_beans; roots; thyme,miso,Cook off alcohol before pressure.
red_wine,Red wine,liquid,deglaze,liquid; acid,fruity; bitter,"{""acidity"":2,""richness"":2,""aromatic_intensity"":3}",french; italian,,,low,beef_chuck; fresh_mushrooms; roots; rosemary,,Best with dark meats; can overpower delicate chicken builds.
beer,Beer,liquid,deglaze,liquid,malty; bitter,"{""richness"":1,""aromatic_intensity"":2}",central_european; american,,,low,pork_shoulder; smoked_sausage; cabbage; pearl_barley,,Dark beer can contribute substantial bitterness.
apple_cider,Apple cider,liquid,deglaze,liquid; acid,fruity,"{""sweetness"":3,""acidity"":2,""aromatic_intensity"":2}",american; french,,,low,pork_shoulder; chicken_thighs; parsnip; cabbage,,Often best partly diluted.
rutabaga,Rutabaga,roots,pressure,starch; body; texture,earthy,"{""body"":2,""sweetness"":2,""texture"":2}",scandinavian; british; universal,20,40,low,chicken_thighs; pork_shoulder; pearl_barley; thyme,,Holds up better than potatoes.
celery_root,Celery root,roots,pressure,starch; body,earthy; herbaceous,"{""body"":2,""sweetness"":1,""aromatic_intensity"":2}",french; central_european,15,30,low,chicken_thighs; white_beans; pearl_barley; parsley,,Can partly dissolve and thicken broth.
parsnip,Parsnip,roots,pressure,starch; body,earthy,"{""body"":2,""sweetness"":4}",french; british; scandinavian,15,25,low,chicken_thighs; celery_root; thyme; lemon_juice,,Use moderately; gets quite sweet.
carrot,Carrot,roots,aromatics,body,earthy,"{""sweetness"":3,""texture"":1}",universal,10,20,low,,,Core root vegetable.
potato,Potato,roots,pressure,starch; body; thickener,earthy,"{""body"":4,""texture"":2}",universal,8,15,low,chicken_thighs; beef_chuck; herbs; greens,,Breaks down during long cooks.
sweet_potato,Sweet potato,roots,pressure,starch; body; thickener,,"{""body"":3,""sweetness"":5}",american; north_african; west_african,8,15,low,chicken_thighs; peanut; dried_chickpeas; chile,,Dissolves easily.
turnip,Turnip,roots,pressure,body; texture,earthy,"{""body"":1,""sweetness"":1,""texture"":2}",scandinavian; french,10,20,low,chicken_thighs; ham_hock; greens,,Lighter than potato.
butternut_squash,Butternut squash,vegetable,pressure,body; thickener,,"{""body"":2,""sweetness"":4}",american; north_african,5,10,low,dried_chickpeas; chicken_thighs; ginger; cinnamon,,Usually dissolves in a long cook.
cauliflower,Cauliflower,vegetable,simmer_after,texture,,"{""body"":1,""freshness"":1,""texture"":2}",indian; universal,5,10,low,dried_chickpeas; curry_paste; chicken_thighs,,Better added after pressure release.
cabbage,Cabbage,vegetable,pressure,body; texture,savory,"{""sweetness"":2,""freshness"":1,""texture"":2}",central_european; american; east_asian,5,15,low,ham_hock; smoked_sausage; pearl_barley; cider_vinegar,,Move to simmer_after if you want more texture.
fresh_mushrooms,Fresh mushrooms,vegetable,brown,body; texture,earthy; savory,"{""umami"":4,""richness"":1,""texture"":3}",french; italian; east_asian,5,10,low,pearl_barley; beef_chuck; chicken_thighs; wine,,Brown in batches.
dried_mushrooms,Dried mushrooms,vegetable,pressure,body; seasoning,earthy; savory,"{""body"":2,""umami"":5,""aromatic_intensity"":3}",east_asian; french,20,60,low,water; chicken_feet; pearl_barley; miso,,Check for grit.
canned_tomatoes,Canned tomatoes,vegetable,pressure,liquid; acid; body,fruity; savory,"{""body"":2,""umami"":2,""sweetness"":1,""acidity"":3}",italian; mexican; universal,,,medium,beef_shank; black_beans; oregano; smoked_paprika,,Acid can slow stubborn beans.
bell_pepper,Bell pepper,vegetable,pressure,body; texture,fruity,"{""sweetness"":3,""freshness"":1,""texture"":1}",mexican; mediterranean; central_european,5,15,low,pork_shoulder; black_beans; smoked_paprika; canned_tomatoes,,Sauté first for deeper flavor.
corn,Corn,vegetable,stir_in,texture; freshener,,"{""sweetness"":4,""freshness"":2,""texture"":2}",mexican; american,2,5,low,black_beans; chicken_thighs; lime_juice; bell_pepper,,Frozen corn works well.
green_beans,Green beans,vegetable,simmer_after,texture; freshener,,"{""freshness"":2,""texture"":3}",french; universal,5,10,low,chicken_thighs; canned_tomatoes; herbs,,Add after pressure release.
frozen_peas,Frozen peas,vegetable,stir_in,freshener; texture,,"{""sweetness"":3,""freshness"":4,""texture"":2}",french; british; universal,2,4,low,chicken_thighs; pearl_barley; spinach; mint,,Excellent anti-heaviness addition.
edamame,Edamame,legumes,stir_in,protein; texture; freshener,,"{""freshness"":3,""texture"":3,""umami"":1}",east_asian; universal,3,5,low,miso; dried_mushrooms; green_onions,ham_hock,Use shelled.
dried_black_beans,Dried black beans,legumes,pressure,protein; starch; body; thickener,earthy; savory,"{""body"":4,""umami"":2,""texture"":2}",mexican; latin_american,35,60,low,pork_shoulder; cumin; oregano; lime_juice,canned_tomatoes; vinegar,Old beans may need soaking and longer cooking.
cooked_black_beans,Cooked black beans,legumes,stir_in,protein; starch; body; texture,earthy; savory,"{""body"":3,""umami"":2,""texture"":3}",mexican; latin_american,3,5,medium,chicken_thighs; corn; bell_pepper; lime_juice,,Good supporting legume.
dried_chickpeas,Dried chickpeas,legumes,pressure,protein; starch; body; texture,nutty,"{""body"":3,""texture"":4,""umami"":1}",north_african; indian; mediterranean,35,50,low,lamb_shoulder; chicken_thighs; cumin; coriander_seed,,Soaking improves predictability.
cooked_chickpeas,Cooked chickpeas,legumes,stir_in,protein; starch; body; texture,nutty,"{""body"":2,""texture"":3,""umami"":1}",north_african; indian; mediterranean,3,5,medium,chicken_thighs; spinach; lemon_juice; yogurt,,Easy supporting legume.
dried_white_beans,Dried white beans,legumes,pressure,protein; starch; body; thickener,creamy; savory,"{""body"":4,""umami"":2,""texture"":2}",italian; french; iberian,30,45,low,ham_hock; chicken_thighs; kale; rosemary,,More neutral than black beans.
cooked_white_beans,Cooked white beans,legumes,stir_in,protein; starch; body; texture,creamy; savory,"{""body"":3,""umami"":2,""texture"":2}",italian; french; iberian,3,5,medium,chicken_thighs; greens; lemon_juice; parmesan,,Excellent secondary ingredient.
red_lentils_pressure,Red lentils (pressure),legumes,pressure,protein; starch; body; thickener,earthy,"{""body"":5,""umami"":1}",indian; middle_eastern,5,10,low,chicken_thighs; carrot; ginger; cumin,,Disappear completely in long cooks.
red_lentils_simmer,Red lentils (simmer after),legumes,simmer_after,protein; starch; body; thickener,earthy,"{""body"":5,""umami"":1}",indian; middle_eastern,15,20,low,roots; spices,,Useful post-opening correction knob; good for thickening a thin broth.
green_lentils,Green lentils,legumes,pressure,protein; starch; body; texture,earthy,"{""body"":3,""texture"":3,""umami"":1}",french; universal,12,20,low,smoked_sausage; roots; thyme; vinegar,,Hold shape better than red lentils.
brown_lentils,Brown lentils,legumes,pressure,protein; starch; body; texture,earthy,"{""body"":3,""texture"":2,""umami"":1}",universal; middle_eastern,12,20,low,beef_chuck; smoked_sausage; canned_tomatoes; herbs,,Softer than green lentils.
split_peas,Split peas,legumes,pressure,protein; starch; body; thickener,earthy,"{""body"":5,""umami"":1}",american; eastern_european; british,15,25,low,ham_hock; smoked_turkey_leg; carrot,,Break down into a velvety base.
pearl_barley,Pearl barley,grains,pressure,starch; body; thickener; texture,nutty,"{""body"":3,""texture"":4,""richness"":1}",french; central_european; british,20,30,low,chicken_thighs; ham_hock; fresh_mushrooms; roots,,Strong fit for long-cook stews.
farro,Farro,grains,pressure,starch; body; texture,nutty,"{""body"":2,""texture"":5}",italian; universal,20,30,low,chicken_thighs; fresh_mushrooms; kale; parmesan,,Holds texture well.
wheat_berries,Wheat berries,grains,pressure,starch; body; texture,nutty,"{""body"":2,""texture"":5}",universal; eastern_european,30,40,low,beef_chuck; roots; fresh_mushrooms,,Very sturdy.
buckwheat_groats,Buckwheat groats,grains,simmer_after,starch; body; texture,earthy; nutty,"{""body"":2,""texture"":3,""aromatic_intensity"":2}",eastern_european,10,15,low,fresh_mushrooms; onion; chicken_thighs,,Strong flavor.
white_rice,White rice,grains,simmer_after,starch; body; thickener,,"{""body"":3,""texture"":2}",east_asian; universal,10,15,low,chicken_thighs; ginger; frozen_peas,,Add after pressure for control.
brown_rice,Brown rice,grains,pressure,starch; body; texture,nutty,"{""body"":3,""texture"":3}",universal; east_asian,20,25,low,chicken_thighs; dried_mushrooms; greens,,More durable than white rice.
quinoa,Quinoa,grains,simmer_after,protein; starch; texture,nutty,"{""body"":1,""freshness"":1,""texture"":3}",universal; latin_american,12,15,low,chicken_thighs; greens; lemon_juice,,Rinse first.
orzo,Orzo,grains,simmer_after,starch; body,,"{""body"":3,""texture"":2}",italian; mediterranean,8,10,low,chicken_thighs; spinach; lemon_juice; parmesan,,Technically pasta.
small_pasta,Small pasta,grains,simmer_after,starch; body,,"{""body"":3,""texture"":2}",italian; universal,6,12,low,beans; canned_tomatoes; greens,,Timing depends on shape.
couscous,Couscous,grains,serve_over,starch; body,,"{""body"":2,""texture"":2}",north_african; mediterranean,5,5,low,dried_chickpeas; lamb_shoulder; chicken_thighs; roots,,Prepare separately.
spinach,Spinach,greens,stir_in,freshener,herbaceous,"{""freshness"":4,""texture"":1}",italian; east_asian; indian; universal,1,3,low,chicken_thighs; white_beans; miso; lemon_juice,,Add after opening.
kale,Kale,greens,simmer_after,freshener; texture,herbaceous; bitter,"{""freshness"":3,""texture"":3}",italian; iberian; universal,5,10,low,white_beans; smoked_sausage; pearl_barley,,Better leftover texture than spinach.
swiss_chard,Swiss chard,greens,stir_in,freshener; texture,herbaceous,"{""freshness"":4,""texture"":2}",mediterranean,3,5,low,white_beans; cooked_chickpeas; lemon_juice,,Stems may need separate cooking.
napa_cabbage,Napa cabbage,greens,stir_in,freshener; texture,,"{""sweetness"":1,""freshness"":3,""texture"":2}",east_asian,2,5,low,chicken_thighs; miso; dried_mushrooms,,Wilts quickly.
parsley,Parsley,topping,finish,freshener; topping,herbaceous,"{""freshness"":4,""aromatic_intensity"":2}",french; italian; mediterranean,,,low,chicken_thighs; roots; pearl_barley; lemon_juice,,Very versatile.
dill,Dill,topping,finish,freshener; topping,herbaceous,"{""freshness"":4,""aromatic_intensity"":4}",eastern_european; scandinavian,,,low,chicken_thighs; roots; sour_cream; lemon_juice,cumin,Strong profile marker.
cilantro,Cilantro,topping,finish,freshener; topping,herbaceous; citrusy,"{""freshness"":5,""aromatic_intensity"":4}",mexican; indian; north_african,,,low,black_beans; dried_chickpeas; lime_juice,,Polarizing.
green_onions,Green onions,topping,finish,freshener; topping,pungent,"{""freshness"":4,""aromatic_intensity"":3}",east_asian; universal,,,low,miso; chicken_thighs; frozen_peas; dried_mushrooms,,Add just before serving.
chives,Chives,topping,finish,freshener; topping,herbaceous,"{""freshness"":3,""aromatic_intensity"":2}",french; universal,,,low,chicken_thighs; potato; sour_cream,,Gentle finisher.
lemon_juice,Lemon juice,topping,finish,acid; freshener; seasoning,citrusy,"{""acidity"":5,""freshness"":4,""aromatic_intensity"":2}",french; mediterranean; middle_eastern,,,low,chicken_thighs; white_beans; greens; pearl_barley,,Major anti-heaviness tool.
lime_juice,Lime juice,topping,finish,acid; freshener; seasoning,citrusy,"{""acidity"":5,""freshness"":4,""aromatic_intensity"":2}",mexican; southeast_asian; latin_american,,,low,black_beans; corn; cilantro; pork_shoulder,,Add per bowl if uncertain.
cider_vinegar,Cider vinegar,topping,finish,acid; freshener; seasoning,tangy,"{""acidity"":5,""freshness"":2}",american; central_european,,,low,pork_shoulder; cabbage; beans,,Good with smoked meats.
sherry_vinegar,Sherry vinegar,topping,finish,acid; freshener; seasoning,tangy,"{""acidity"":5,""freshness"":2,""aromatic_intensity"":2}",iberian; french,,,low,beef_chuck; lentils; fresh_mushrooms,,Use sparingly.
red_wine_vinegar,Red wine vinegar,topping,finish,acid; freshener; seasoning,tangy,"{""acidity"":5,""freshness"":2}",italian; mediterranean,,,low,beans; greens; beef_chuck,,General-purpose finisher.
parmesan,Parmesan,topping,finish,topping; seasoning; fat,savory; nutty,"{""richness"":3,""umami"":4,""texture"":1}",italian,,,high,pearl_barley; white_beans; spinach; chicken_thighs,miso,Best added per bowl.
parmesan_rind,Parmesan rind,topping,pressure,seasoning; body,savory; nutty,"{""body"":2,""richness"":2,""umami"":4}",italian,20,60,high,white_beans; pearl_barley; canned_tomatoes; greens,ham_hock,Remove before serving.
miso,Miso,topping,finish,seasoning,fermented; savory,"{""umami"":5,""richness"":1,""aromatic_intensity"":2}",east_asian,,,high,chicken_thighs; dried_mushrooms; spinach; green_onions,ham_hock; parmesan,Dissolve in hot broth after pressure cooking.
yogurt,Yogurt,topping,finish,topping; fat; acid,creamy; tangy,"{""richness"":2,""acidity"":2,""freshness"":2}",indian; middle_eastern; mediterranean,,,low,dried_chickpeas; lamb_shoulder; cumin; herbs,,Add per bowl.
sour_cream,Sour cream,topping,finish,topping; fat; acid,creamy; tangy,"{""richness"":3,""acidity"":2}",eastern_european; central_european,,,low,dill; potato; cabbage; ham_hock,,Add per bowl.
crispy_bacon,Crispy bacon,topping,finish,topping; fat; seasoning; texture,savory,"{""richness"":4,""umami"":3,""smoke"":4,""texture"":4}",american,,,high,beans; roots; greens,ham_hock; smoked_sausage,Texture contrast.
fried_onions,Fried onions,topping,finish,topping; fat; texture,savory,"{""sweetness"":2,""richness"":2,""umami"":2,""texture"":5}",american; central_european; indian,,,medium,lentils; beans; roots,,Texture contrast.
croutons,Croutons,topping,finish,topping; starch; texture,,"{""body"":1,""texture"":5}",french; italian,,,medium,greens; parmesan,,Add only at serving; best in soupier builds.
pumpkin_seeds,Pumpkin seeds,topping,finish,topping; fat; texture,nutty,"{""richness"":1,""texture"":5}",mexican; universal,,,low,black_beans; butternut_squash; lime_juice,,Crunch without much heaviness.
sunflower_seeds,Sunflower seeds,topping,finish,topping; fat; texture,nutty,"{""richness"":1,""texture"":5}",universal; eastern_european,,,low,roots; greens; yogurt,,Inexpensive topping.
bay_leaf,Bay leaf,spice,pressure,seasoning; aromatic,herbaceous,"{""aromatic_intensity"":3}",french; mediterranean; universal,,,low,beans; meat; roots; pearl_barley,,Remove before serving.
whole_black_pepper,Whole black pepper,spice,pressure,seasoning,peppery,"{""heat"":2,""aromatic_intensity"":3}",universal,,,low,meat; beans; roots,,Whole peppercorns survive long cooking.
fennel_seed,Fennel seed,spice,pressure,seasoning; aromatic,anise,"{""sweetness"":1,""aromatic_intensity"":5}",italian; mediterranean,,,low,pork_shoulder; chicken_thighs; white_beans; canned_tomatoes,cumin,Use moderately.
cumin,Cumin,spice,aromatics,seasoning; aromatic,earthy,"{""aromatic_intensity"":5,""heat"":1}",mexican; indian; north_african; middle_eastern,,,low,black_beans; dried_chickpeas; lamb_shoulder; lime_juice,,Bloom briefly in fat.
coriander_seed,Coriander seed,spice,aromatics,seasoning; aromatic,citrusy; floral,"{""freshness"":1,""aromatic_intensity"":4}",indian; north_african; mexican,,,low,cumin; dried_chickpeas; chicken_thighs; lemon_juice,,Whole or ground.
oregano,Oregano,spice,pressure,seasoning; aromatic,herbaceous,"{""aromatic_intensity"":4}",italian; mexican; mediterranean,,,low,canned_tomatoes; beans; pork_shoulder; chicken_thighs,,Cuisine depends on companions.
thyme,Thyme,spice,pressure,seasoning; aromatic,herbaceous,"{""aromatic_intensity"":3}",french; british,,,low,chicken_thighs; roots; pearl_barley; white_wine,,Reliable with roots.
rosemary,Rosemary,spice,pressure,seasoning; aromatic,resinous; herbaceous,"{""aromatic_intensity"":5}",italian; french,,,low,lamb_shoulder; beef_chuck; white_beans; potato,,Use sparingly.
smoked_paprika,Smoked paprika,spice,aromatics,seasoning; aromatic,,"{""smoke"":4,""sweetness"":1,""aromatic_intensity"":3}",iberian; central_european,,,low,pork_shoulder; beans; smoked_sausage; canned_tomatoes,ham_hock,Bloom briefly.
chipotle,Chipotle,spice,pressure,seasoning; aromatic,fruity,"{""heat"":4,""smoke"":5,""aromatic_intensity"":4}",mexican,,,medium,black_beans; pork_shoulder; canned_tomatoes; lime_juice,,Strong cuisine anchor.
cinnamon,Cinnamon,spice,pressure,seasoning; aromatic,,"{""sweetness"":1,""aromatic_intensity"":5}",north_african; middle_eastern,,,low,lamb_shoulder; dried_chickpeas; cumin,,Use a very small amount.
turmeric,Turmeric,spice,aromatics,seasoning,earthy,"{""aromatic_intensity"":2}",indian; middle_eastern,,,low,lentils; dried_chickpeas; ginger,,Bloom in fat.
garam_masala,Garam masala,spice,finish,seasoning; aromatic,,"{""aromatic_intensity"":5,""heat"":1}",indian,,,low,dried_chickpeas; lentils; chicken_thighs; yogurt,,Better near the end.
curry_paste,Curry paste,spice,aromatics,seasoning; aromatic,pungent,"{""heat"":4,""umami"":2,""aromatic_intensity"":5}",southeast_asian,,,high,chicken_thighs; coconut_milk; vegetables,parmesan; red_wine,Fry briefly before liquid.
soy_sauce,Soy sauce,spice,finish,seasoning,fermented; savory,"{""umami"":4,""aromatic_intensity"":1}",east_asian,,,high,dried_mushrooms; chicken_thighs; miso; greens,ham_hock,Treat mainly as seasoning.
fish_sauce,Fish sauce,spice,finish,seasoning,fermented; savory; pungent,"{""umami"":5,""aromatic_intensity"":3}",southeast_asian,,,high,chicken_thighs; lime_juice; herbs; chile,parmesan; sour_cream,Use in tiny amounts.
salt,Salt,spice,finish,seasoning,,{},universal,,,high,,,Dosage-dependent; do not score as an ingredient-level balance axis.
coconut_milk,Coconut milk,liquid,deglaze,liquid; fat; body,creamy; nutty,"{""richness"":4,""body"":2,""sweetness"":1}",southeast_asian; indian; east_asian,,,low,curry_paste; chicken_thighs; sweet_potato; ginger,,Light coconut milk holds up to pressure; stir thicker coconut cream in near the end to avoid splitting.
peanut,Peanut butter,fat,stir_in,fat; body; thickener,nutty; creamy,"{""richness"":4,""body"":3,""umami"":1}",west_african; southeast_asian,,,medium,sweet_potato; chicken_thighs; chile,,Stir in near the end to enrich and thicken; thin with broth to prevent clumping.
chile,Fresh chile,spice,aromatics,seasoning; aromatic,pungent; fruity,"{""heat"":4,""aromatic_intensity"":3}",mexican; southeast_asian; indian,,,low,sweet_potato; black_beans; lime_juice; fish_sauce,,Adjust amount to taste; remove seeds for less heat.
mint,Mint,topping,finish,freshener; topping,herbaceous,"{""freshness"":4,""aromatic_intensity"":3}",middle_eastern; indian; southeast_asian,,,low,frozen_peas; yogurt; lamb_shoulder; lemon_juice,,Add at the end; brightens rich or bean-heavy builds.
